plot,species,dbh_cm,count,browsed,stripped,broken
84,white pine,4.5,1,0,0,0
84,white pine,4.6,1,0,0,0
90,black birch,NA,8,1,0,0
90,black birch,NA,3,0,0,0
90,white pine,NA,2,1,0,0
90,black cherry,NA,3,1,0,0
90,hickory,NA,1,0,0,0
90,white pine,NA,4,0,0,0
90,black cherry,NA,2,0,0,0
90,red maple,NA,2,1,0,0
90,black oak,NA,1,0,0,0
90,black birch,2.6,1,0,0,0
90,black birch,2.7,1,1,0,0
90,black birch,3.4,1,1,0,0
90,black birch,3.8,1,1,0,0
90,black birch,3.8,1,1,0,0
90,black birch,4.6,1,0,0,0
90,black oak,44.9,1,NA,0,0
90,red maple,3.2,1,1,0,0
90,white pine,3.1,1,1,0,0
90,white pine,3.6,1,0,0,0
90,white pine,61.6,1,NA,0,0
92,white pine,NA,1,0,0,0
92,Chestnut,NA,1,0,0,0
92,black oak,12.4,1,0,0,0
92,black oak,29,1,NA,0,0
92,red maple,5.1,1,0,0,0
92,red maple,6.3,1,0,0,0
92,red maple,8.7,1,NA,0,0
92,red maple,9.5,1,NA,0,0
92,red maple,16.9,1,NA,0,0
92,red oak,6.6,1,0,0,0
92,red oak,11.4,1,0,0,0
92,red oak,27.1,1,NA,0,0
92,red oak,29.7,1,NA,0,0
92,red oak,30.9,1,NA,0,0
92,red oak,40.7,1,NA,0,0
92,white oak,41.4,1,0,0,0
95,red maple,2.5,1,1,0,0
95,red maple,NA,2,0,0,0
95,red maple,NA,1,1,0,0
95,Chestnut,NA,1,0,0,0
95,white pine,NA,8,1,0,0
95,white pine,NA,3,0,0,0
95,red maple,2.5,1,0,0,0
95,red maple,2.5,1,0,0,0
95,white pine,2.6,1,0,0,0
95,white pine,2.6,1,1,0,0
95,white pine,2.7,1,0,0,0
95,red maple,2.8,1,0,0,0
95,red maple,2.8,1,0,0,0
95,white pine,2.8,1,1,0,0
95,white pine,2.9,1,0,0,0
95,white pine,3,1,1,0,0
95,red maple,3.2,1,0,0,0
95,red maple,3.2,1,1,0,0
95,red maple,3.4,1,1,0,0
95,black oak,3.5,1,0,0,0
95,red maple,4,1,0,0,0
95,red maple,4,1,0,0,0
95,red maple,4,1,1,0,0
95,red maple,4.1,1,0,0,0
95,red maple,4.3,1,0,0,0
95,red maple,5.7,1,0,0,0
95,white pine,9.5,1,0,0,0
95,red oak,10.9,1,0,0,0
95,red maple,15.7,1,1,0,0
95,white pine,22,1,NA,0,0
95,white oak,30.9,1,NA,0,0
95,white oak,42.7,1,NA,0,0
100,hemlock,NA,1,0,0,0
100,black birch,14.4,1,NA,0,0
100,black birch,17.3,1,NA,0,0
100,black birch,22.5,1,NA,0,0
100,hemlock,4.1,1,1,0,0
100,hemlock,6.3,1,0,0,0
100,hemlock,9.2,1,1,0,0
100,hemlock,9.7,1,0,0,0
100,hemlock,12.8,1,1,0,0
100,hemlock,15.8,1,0,0,0
100,hemlock,17.2,1,1,0,0
100,hemlock,21.9,1,1,0,0
100,hemlock,25.8,1,1,0,0
100,paper birch,18.4,1,NA,0,0
100,paper birch,18.7,1,NA,0,0
