"","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","swamp","wetland_forest","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","spruce_fir_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","watershed","deer_density","harvest","dist_dev_m"
"71",307,0,4706167,254,0,FALSE,FALSE,TRUE,13,0,0.02,0,15,0,0.3,77,0,"Ware River",NA,FALSE,61
"72",308,0,4710968.363,305,6,FALSE,FALSE,FALSE,0,0,86,0,0,0,0,6,0,"Ware River",NA,FALSE,317
"73",310,20.1446281,4704538.605,295,171,FALSE,FALSE,FALSE,0,35,71,0,15,0,14,0,8.1,"Ware River",NA,TRUE,165
"74",311,0,4702779,230,181,FALSE,FALSE,FALSE,0,0,17,0,3,0,74,0,127.8,"Ware River",NA,TRUE,298
"75",324,90.18595041,4692781,198,20,FALSE,FALSE,FALSE,0,55,49,0,13,0,26,0,0,"Quabbin",4.7,FALSE,1000
"76",328,0,4706625,227,27,FALSE,FALSE,FALSE,1,103,12,2,38,0,25,9,0,"Quabbin",1.9,FALSE,537
"77",332,5.371900826,4710540,165,80,FALSE,FALSE,FALSE,1,308,0,0,42,0,17,37,0,"Quabbin",1.9,TRUE,441
"78",334,102.5826446,4701891,293,752,FALSE,FALSE,FALSE,10,0,2,0,22,0,45,30,0,"Ware River",NA,FALSE,1000
"79",335,63.73966942,4698831,267,305,FALSE,FALSE,FALSE,2,25,0,0,2,0,62,33,20.7,"Ware River",NA,TRUE,1000
"80",357,78.09917355,4705470,293,0,FALSE,TRUE,TRUE,20,14,0,0,61,0,0,7,0,"Ware River",NA,FALSE,817
"81",359,30.06198347,4704296.861,250,0,FALSE,TRUE,TRUE,0,0,51,0,3,23,0,23,0,"Ware River",NA,FALSE,367
"82",363,92.3553719,4703161.796,248,0,FALSE,TRUE,TRUE,37,92,0,0,11,72,0,16,0,"Ware River",NA,FALSE,657
"83",368,110.2272727,4699007,239,0,FALSE,TRUE,TRUE,62,0,0,0,97,0,0,0,0,"Ware River",NA,FALSE,1000
"84",370,13.32644628,4699598.902,246,7,FALSE,FALSE,FALSE,7,117,0,0,100,0,0,0,0,"Ware River",NA,FALSE,207
"85",372,33.57438017,4698772,245,0,FALSE,FALSE,TRUE,24,29,0,2,48,0,1,0,0,"Ware River",NA,FALSE,219
"86",373,30.47520661,4699282.102,244,0,FALSE,FALSE,TRUE,40,19,0,0,44,0,0,0,0,"Ware River",NA,FALSE,906
"87",379,0,4702618,242,0,FALSE,FALSE,TRUE,6,43,0,0,35,0,27,0,0,"Ware River",NA,FALSE,875
"88",382,0,4702008,168,0,FALSE,FALSE,TRUE,24,5,0,1,60,0,0,0.1,0,"Quabbin",4.8,FALSE,295
"89",384,0,4702221,179,20,FALSE,FALSE,FALSE,2,52,0,1,74,0,2,0,0,"Quabbin",NA,FALSE,316
"90",387,0,4702627,188,25,FALSE,FALSE,FALSE,1,143,0,15,33,0,2,0.3,0,"Quabbin",NA,FALSE,159
"91",394,0,4702585,212,8,FALSE,FALSE,FALSE,21,43,0,0,100,0,0,0,0,"Ware River",NA,FALSE,658
"92",396,0,4705026,224,0,FALSE,FALSE,TRUE,7,45,1,9,31,0,52,0,0,"Ware River",NA,FALSE,467
"93",398,0,4701505,222,15,FALSE,FALSE,FALSE,6,128,2,21,8,0,26,0,0,"Ware River",NA,FALSE,260
"94",400,20.66115702,4698670,241,0,FALSE,TRUE,TRUE,15,200,0,0,34,29,6,30,0,"Ware River",NA,FALSE,481
"95",402,59.19421488,4702462.011,248,0,FALSE,TRUE,TRUE,3,0,16,0,5,70,0,9,0,"Ware River",NA,FALSE,760
"96",403,15.59917355,4703973.641,248,112,FALSE,FALSE,FALSE,0,0,36,0,18,23,0,22,0,"Ware River",NA,FALSE,175
"97",410,0,4709311,165,0,FALSE,TRUE,TRUE,76,32,1,0,11,24,0,20,0,"Quabbin",1.9,FALSE,418
"98",411,94.21487603,4701395,274,496,TRUE,FALSE,FALSE,0,246,0,0,3,0,77,20,0,"Quabbin",4.8,FALSE,1000
"99",412,0,4702536,306,558,TRUE,FALSE,FALSE,0,596,0,0,0.2,0,59,38,0,"Quabbin",4.8,FALSE,1000
"100",416,23.55371901,4698291,276,522,TRUE,FALSE,FALSE,0,366,0,0,4,0,54,0.4,0,"Quabbin",4.8,FALSE,1000
"101",418,0,4708647,243,158,TRUE,FALSE,FALSE,0,57,0.3,0,0,0,36,64,0,"Quabbin",1.9,FALSE,1000
"102",425,73.14049587,4711782,303,306,TRUE,FALSE,FALSE,0,0,27,0,0,0,45,28,0,"Quabbin",1.9,FALSE,1000
"103",428,0,4711573,307,215,FALSE,FALSE,FALSE,5,0,92,0,7,0,0.5,0,NA,"Quabbin",NA,TRUE,301
"104",432,29.23553719,4702237,256,63,FALSE,FALSE,FALSE,0,351,0,95,0,0,0,0.3,0,"Quabbin",1.2,FALSE,1000
"105",435,30.06198347,4690428,312,52,FALSE,FALSE,FALSE,3,37,0,0,46,0,0,0.6,0,"Quabbin",NA,FALSE,1000
"106",437,8.780991736,4703941,284,199,TRUE,FALSE,FALSE,0,178,0,0,0,0,55,6,0,"Quabbin",4.8,FALSE,1000
"107",440,0,4700613,259,93,FALSE,FALSE,FALSE,0,254,0,18,13,0,0.8,0,0,"Quabbin",1.2,FALSE,1000
"108",442,5.371900826,4699340,161,20,FALSE,FALSE,FALSE,1,445,0,1,0,0,61,18,0,"Quabbin",1.2,FALSE,1000
"109",443,28.61570248,4699689,308,362,TRUE,FALSE,FALSE,0,382,0,0,10,0,84,1,0,"Quabbin",1.2,FALSE,1000
"110",444,53.30578512,4697213,253,109,FALSE,FALSE,FALSE,1,60,0,67,0,0,0,13,59.7,"Quabbin",1.2,TRUE,637
